,consumption,interval_start,interval_end,unit,type,data_source
63,0.01,2024-06-28T16:30:00+01:00,2024-06-28T17:00:00+01:00,kwh,electrity,octopus_api
64,0.011,2024-06-28T16:00:00+01:00,2024-06-28T16:30:00+01:00,kwh,electrity,octopus_api
65,0.015,2024-06-28T15:30:00+01:00,2024-06-28T16:00:00+01:00,kwh,electrity,octopus_api
66,0.015,2024-06-28T15:00:00+01:00,2024-06-28T15:30:00+01:00,kwh,electrity,octopus_api
67,0.016,2024-06-28T14:30:00+01:00,2024-06-28T15:00:00+01:00,kwh,electrity,octopus_api
68,0.015,2024-06-28T14:00:00+01:00,2024-06-28T14:30:00+01:00,kwh,electrity,octopus_api
69,0.006,2024-06-28T13:30:00+01:00,2024-06-28T14:00:00+01:00,kwh,electrity,octopus_api
70,0.008,2024-06-28T13:00:00+01:00,2024-06-28T13:30:00+01:00,kwh,electrity,octopus_api
71,0.007,2024-06-28T12:30:00+01:00,2024-06-28T13:00:00+01:00,kwh,electrity,octopus_api
72,0.008,2024-06-28T12:00:00+01:00,2024-06-28T12:30:00+01:00,kwh,electrity,octopus_api
73,0.009,2024-06-28T11:30:00+01:00,2024-06-28T12:00:00+01:00,kwh,electrity,octopus_api
74,0.005,2024-06-28T11:00:00+01:00,2024-06-28T11:30:00+01:00,kwh,electrity,octopus_api
75,0.015,2024-06-28T10:30:00+01:00,2024-06-28T11:00:00+01:00,kwh,electrity,octopus_api
76,0.008,2024-06-28T10:00:00+01:00,2024-06-28T10:30:00+01:00,kwh,electrity,octopus_api
77,0.169,2024-06-28T09:30:00+01:00,2024-06-28T10:00:00+01:00,kwh,electrity,octopus_api
78,0.021,2024-06-28T09:00:00+01:00,2024-06-28T09:30:00+01:00,kwh,electrity,octopus_api
79,0.253,2024-06-28T08:30:00+01:00,2024-06-28T09:00:00+01:00,kwh,electrity,octopus_api
80,0.185,2024-06-28T08:00:00+01:00,2024-06-28T08:30:00+01:00,kwh,electrity,octopus_api
81,0.001,2024-06-28T07:30:00+01:00,2024-06-28T08:00:00+01:00,kwh,electrity,octopus_api
82,0.0,2024-06-28T07:00:00+01:00,2024-06-28T07:30:00+01:00,kwh,electrity,octopus_api
83,0.002,2024-06-28T06:30:00+01:00,2024-06-28T07:00:00+01:00,kwh,electrity,octopus_api
84,0.005,2024-06-28T06:00:00+01:00,2024-06-28T06:30:00+01:00,kwh,electrity,octopus_api
85,0.0,2024-06-28T05:30:00+01:00,2024-06-28T06:00:00+01:00,kwh,electrity,octopus_api
86,0.0,2024-06-28T05:00:00+01:00,2024-06-28T05:30:00+01:00,kwh,electrity,octopus_api
87,0.0,2024-06-28T04:30:00+01:00,2024-06-28T05:00:00+01:00,kwh,electrity,octopus_api
88,0.0,2024-06-28T04:00:00+01:00,2024-06-28T04:30:00+01:00,kwh,electrity,octopus_api
89,0.0,2024-06-28T03:30:00+01:00,2024-06-28T04:00:00+01:00,kwh,electrity,octopus_api
90,0.0,2024-06-28T03:00:00+01:00,2024-06-28T03:30:00+01:00,kwh,electrity,octopus_api
91,0.0,2024-06-28T02:30:00+01:00,2024-06-28T03:00:00+01:00,kwh,electrity,octopus_api
92,0.0,2024-06-28T02:00:00+01:00,2024-06-28T02:30:00+01:00,kwh,electrity,octopus_api
93,0.0,2024-06-28T01:30:00+01:00,2024-06-28T02:00:00+01:00,kwh,electrity,octopus_api
94,0.0,2024-06-28T01:00:00+01:00,2024-06-28T01:30:00+01:00,kwh,electrity,octopus_api
95,0.001,2024-06-28T00:30:00+01:00,2024-06-28T01:00:00+01:00,kwh,electrity,octopus_api
96,0.0,2024-06-28T00:00:00+01:00,2024-06-28T00:30:00+01:00,kwh,electrity,octopus_api
97,0.0,2024-06-27T23:30:00+01:00,2024-06-28T00:00:00+01:00,kwh,electrity,octopus_api
98,0.001,2024-06-27T23:00:00+01:00,2024-06-27T23:30:00+01:00,kwh,electrity,octopus_api
99,1.021,2024-06-27T22:30:00+01:00,2024-06-27T23:00:00+01:00,kwh,electrity,octopus_api
100,4.022,2024-06-27T22:00:00+01:00,2024-06-27T22:30:00+01:00,kwh,electrity,octopus_api
101,3.686,2024-06-27T21:30:00+01:00,2024-06-27T22:00:00+01:00,kwh,electrity,octopus_api
102,3.8,2024-06-27T21:00:00+01:00,2024-06-27T21:30:00+01:00,kwh,electrity,octopus_api
103,1.156,2024-06-27T20:30:00+01:00,2024-06-27T21:00:00+01:00,kwh,electrity,octopus_api
104,0.001,2024-06-27T20:00:00+01:00,2024-06-27T20:30:00+01:00,kwh,electrity,octopus_api
105,0.0,2024-06-27T19:30:00+01:00,2024-06-27T20:00:00+01:00,kwh,electrity,octopus_api
106,0.0,2024-06-27T19:00:00+01:00,2024-06-27T19:30:00+01:00,kwh,electrity,octopus_api
107,0.012,2024-06-27T18:30:00+01:00,2024-06-27T19:00:00+01:00,kwh,electrity,octopus_api
108,0.018,2024-06-27T18:00:00+01:00,2024-06-27T18:30:00+01:00,kwh,electrity,octopus_api
109,0.01,2024-06-27T17:30:00+01:00,2024-06-27T18:00:00+01:00,kwh,electrity,octopus_api
110,0.008,2024-06-27T17:00:00+01:00,2024-06-27T17:30:00+01:00,kwh,electrity,octopus_api
111,0.011,2024-06-27T16:30:00+01:00,2024-06-27T17:00:00+01:00,kwh,electrity,octopus_api
112,0.017,2024-06-27T16:00:00+01:00,2024-06-27T16:30:00+01:00,kwh,electrity,octopus_api
113,0.014,2024-06-27T15:30:00+01:00,2024-06-27T16:00:00+01:00,kwh,electrity,octopus_api
114,0.008,2024-06-27T15:00:00+01:00,2024-06-27T15:30:00+01:00,kwh,electrity,octopus_api
115,0.015,2024-06-27T14:30:00+01:00,2024-06-27T15:00:00+01:00,kwh,electrity,octopus_api
116,0.02,2024-06-27T14:00:00+01:00,2024-06-27T14:30:00+01:00,kwh,electrity,octopus_api
117,0.013,2024-06-27T13:30:00+01:00,2024-06-27T14:00:00+01:00,kwh,electrity,octopus_api
118,0.015,2024-06-27T13:00:00+01:00,2024-06-27T13:30:00+01:00,kwh,electrity,octopus_api
119,0.017,2024-06-27T12:30:00+01:00,2024-06-27T13:00:00+01:00,kwh,electrity,octopus_api
120,0.012,2024-06-27T12:00:00+01:00,2024-06-27T12:30:00+01:00,kwh,electrity,octopus_api
121,0.018,2024-06-27T11:30:00+01:00,2024-06-27T12:00:00+01:00,kwh,electrity,octopus_api
122,0.015,2024-06-27T11:00:00+01:00,2024-06-27T11:30:00+01:00,kwh,electrity,octopus_api
123,0.011,2024-06-27T10:30:00+01:00,2024-06-27T11:00:00+01:00,kwh,electrity,octopus_api
124,0.006,2024-06-27T10:00:00+01:00,2024-06-27T10:30:00+01:00,kwh,electrity,octopus_api
125,1.059,2024-06-27T09:30:00+01:00,2024-06-27T10:00:00+01:00,kwh,electrity,octopus_api
126,0.667,2024-06-27T09:00:00+01:00,2024-06-27T09:30:00+01:00,kwh,electrity,octopus_api
127,0.007,2024-06-27T08:30:00+01:00,2024-06-27T09:00:00+01:00,kwh,electrity,octopus_api
128,0.003,2024-06-27T08:00:00+01:00,2024-06-27T08:30:00+01:00,kwh,electrity,octopus_api
129,0.002,2024-06-27T07:30:00+01:00,2024-06-27T08:00:00+01:00,kwh,electrity,octopus_api
130,0.0,2024-06-27T07:00:00+01:00,2024-06-27T07:30:00+01:00,kwh,electrity,octopus_api
131,0.001,2024-06-27T06:30:00+01:00,2024-06-27T07:00:00+01:00,kwh,electrity,octopus_api
132,0.001,2024-06-27T06:00:00+01:00,2024-06-27T06:30:00+01:00,kwh,electrity,octopus_api
133,0.0,2024-06-27T05:30:00+01:00,2024-06-27T06:00:00+01:00,kwh,electrity,octopus_api
134,0.0,2024-06-27T05:00:00+01:00,2024-06-27T05:30:00+01:00,kwh,electrity,octopus_api
135,0.0,2024-06-27T04:30:00+01:00,2024-06-27T05:00:00+01:00,kwh,electrity,octopus_api
136,0.0,2024-06-27T04:00:00+01:00,2024-06-27T04:30:00+01:00,kwh,electrity,octopus_api
137,0.0,2024-06-27T03:30:00+01:00,2024-06-27T04:00:00+01:00,kwh,electrity,octopus_api
138,0.0,2024-06-27T03:00:00+01:00,2024-06-27T03:30:00+01:00,kwh,electrity,octopus_api
139,0.0,2024-06-27T02:30:00+01:00,2024-06-27T03:00:00+01:00,kwh,electrity,octopus_api
140,0.0,2024-06-27T02:00:00+01:00,2024-06-27T02:30:00+01:00,kwh,electrity,octopus_api
141,0.0,2024-06-27T01:30:00+01:00,2024-06-27T02:00:00+01:00,kwh,electrity,octopus_api
142,0.0,2024-06-27T01:00:00+01:00,2024-06-27T01:30:00+01:00,kwh,electrity,octopus_api
143,0.0,2024-06-27T00:30:00+01:00,2024-06-27T01:00:00+01:00,kwh,electrity,octopus_api
144,0.001,2024-06-27T00:00:00+01:00,2024-06-27T00:30:00+01:00,kwh,electrity,octopus_api
145,0.0,2024-06-26T23:30:00+01:00,2024-06-27T00:00:00+01:00,kwh,electrity,octopus_api
146,0.0,2024-06-26T23:00:00+01:00,2024-06-26T23:30:00+01:00,kwh,electrity,octopus_api
147,0.001,2024-06-26T22:30:00+01:00,2024-06-26T23:00:00+01:00,kwh,electrity,octopus_api
148,0.0,2024-06-26T22:00:00+01:00,2024-06-26T22:30:00+01:00,kwh,electrity,octopus_api
149,0.001,2024-06-26T21:30:00+01:00,2024-06-26T22:00:00+01:00,kwh,electrity,octopus_api
150,0.0,2024-06-26T21:00:00+01:00,2024-06-26T21:30:00+01:00,kwh,electrity,octopus_api
151,0.0,2024-06-26T20:30:00+01:00,2024-06-26T21:00:00+01:00,kwh,electrity,octopus_api
152,0.0,2024-06-26T20:00:00+01:00,2024-06-26T20:30:00+01:00,kwh,electrity,octopus_api
153,0.0,2024-06-26T19:30:00+01:00,2024-06-26T20:00:00+01:00,kwh,electrity,octopus_api
154,0.004,2024-06-26T19:00:00+01:00,2024-06-26T19:30:00+01:00,kwh,electrity,octopus_api
155,0.006,2024-06-26T18:30:00+01:00,2024-06-26T19:00:00+01:00,kwh,electrity,octopus_api
156,0.007,2024-06-26T18:00:00+01:00,2024-06-26T18:30:00+01:00,kwh,electrity,octopus_api
157,0.012,2024-06-26T17:30:00+01:00,2024-06-26T18:00:00+01:00,kwh,electrity,octopus_api
158,0.01,2024-06-26T17:00:00+01:00,2024-06-26T17:30:00+01:00,kwh,electrity,octopus_api
159,0.009,2024-06-26T16:30:00+01:00,2024-06-26T17:00:00+01:00,kwh,electrity,octopus_api
160,0.01,2024-06-26T16:00:00+01:00,2024-06-26T16:30:00+01:00,kwh,electrity,octopus_api
161,0.014,2024-06-26T15:30:00+01:00,2024-06-26T16:00:00+01:00,kwh,electrity,octopus_api
162,0.017,2024-06-26T15:00:00+01:00,2024-06-26T15:30:00+01:00,kwh,electrity,octopus_api
163,0.015,2024-06-26T14:30:00+01:00,2024-06-26T15:00:00+01:00,kwh,electrity,octopus_api
164,0.012,2024-06-26T14:00:00+01:00,2024-06-26T14:30:00+01:00,kwh,electrity,octopus_api
165,0.013,2024-06-26T13:30:00+01:00,2024-06-26T14:00:00+01:00,kwh,electrity,octopus_api
166,0.016,2024-06-26T13:00:00+01:00,2024-06-26T13:30:00+01:00,kwh,electrity,octopus_api
167,0.015,2024-06-26T12:30:00+01:00,2024-06-26T13:00:00+01:00,kwh,electrity,octopus_api
168,0.014,2024-06-26T12:00:00+01:00,2024-06-26T12:30:00+01:00,kwh,electrity,octopus_api
169,0.015,2024-06-26T11:30:00+01:00,2024-06-26T12:00:00+01:00,kwh,electrity,octopus_api
170,0.014,2024-06-26T11:00:00+01:00,2024-06-26T11:30:00+01:00,kwh,electrity,octopus_api
171,0.581,2024-06-26T10:30:00+01:00,2024-06-26T11:00:00+01:00,kwh,electrity,octopus_api
172,1.006,2024-06-26T10:00:00+01:00,2024-06-26T10:30:00+01:00,kwh,electrity,octopus_api
173,0.307,2024-06-26T09:30:00+01:00,2024-06-26T10:00:00+01:00,kwh,electrity,octopus_api
174,0.04,2024-06-26T09:00:00+01:00,2024-06-26T09:30:00+01:00,kwh,electrity,octopus_api
175,0.187,2024-06-26T08:30:00+01:00,2024-06-26T09:00:00+01:00,kwh,electrity,octopus_api
176,0.431,2024-06-26T08:00:00+01:00,2024-06-26T08:30:00+01:00,kwh,electrity,octopus_api
177,0.839,2024-06-26T07:30:00+01:00,2024-06-26T08:00:00+01:00,kwh,electrity,octopus_api
178,0.001,2024-06-26T07:00:00+01:00,2024-06-26T07:30:00+01:00,kwh,electrity,octopus_api
179,0.0,2024-06-26T06:30:00+01:00,2024-06-26T07:00:00+01:00,kwh,electrity,octopus_api
180,0.001,2024-06-26T06:00:00+01:00,2024-06-26T06:30:00+01:00,kwh,electrity,octopus_api
181,0.0,2024-06-26T05:30:00+01:00,2024-06-26T06:00:00+01:00,kwh,electrity,octopus_api
182,0.0,2024-06-26T05:00:00+01:00,2024-06-26T05:30:00+01:00,kwh,electrity,octopus_api
183,0.0,2024-06-26T04:30:00+01:00,2024-06-26T05:00:00+01:00,kwh,electrity,octopus_api
184,0.0,2024-06-26T04:00:00+01:00,2024-06-26T04:30:00+01:00,kwh,electrity,octopus_api
185,0.0,2024-06-26T03:30:00+01:00,2024-06-26T04:00:00+01:00,kwh,electrity,octopus_api
186,0.0,2024-06-26T03:00:00+01:00,2024-06-26T03:30:00+01:00,kwh,electrity,octopus_api
187,0.0,2024-06-26T02:30:00+01:00,2024-06-26T03:00:00+01:00,kwh,electrity,octopus_api
188,0.0,2024-06-26T02:00:00+01:00,2024-06-26T02:30:00+01:00,kwh,electrity,octopus_api
189,0.001,2024-06-26T01:30:00+01:00,2024-06-26T02:00:00+01:00,kwh,electrity,octopus_api
190,0.0,2024-06-26T01:00:00+01:00,2024-06-26T01:30:00+01:00,kwh,electrity,octopus_api
191,0.0,2024-06-26T00:30:00+01:00,2024-06-26T01:00:00+01:00,kwh,electrity,octopus_api
192,0.0,2024-06-26T00:00:00+01:00,2024-06-26T00:30:00+01:00,kwh,electrity,octopus_api
193,0.0,2024-06-25T23:30:00+01:00,2024-06-26T00:00:00+01:00,kwh,electrity,octopus_api
194,0.001,2024-06-25T23:00:00+01:00,2024-06-25T23:30:00+01:00,kwh,electrity,octopus_api
195,0.0,2024-06-25T22:30:00+01:00,2024-06-25T23:00:00+01:00,kwh,electrity,octopus_api
196,0.094,2024-06-25T22:00:00+01:00,2024-06-25T22:30:00+01:00,kwh,electrity,octopus_api
197,0.001,2024-06-25T21:30:00+01:00,2024-06-25T22:00:00+01:00,kwh,electrity,octopus_api
198,0.0,2024-06-25T21:00:00+01:00,2024-06-25T21:30:00+01:00,kwh,electrity,octopus_api
199,0.005,2024-06-25T20:30:00+01:00,2024-06-25T21:00:00+01:00,kwh,electrity,octopus_api
200,0.0,2024-06-25T20:00:00+01:00,2024-06-25T20:30:00+01:00,kwh,electrity,octopus_api
201,0.0,2024-06-25T19:30:00+01:00,2024-06-25T20:00:00+01:00,kwh,electrity,octopus_api
202,0.001,2024-06-25T19:00:00+01:00,2024-06-25T19:30:00+01:00,kwh,electrity,octopus_api
203,0.027,2024-06-25T18:30:00+01:00,2024-06-25T19:00:00+01:00,kwh,electrity,octopus_api
204,0.007,2024-06-25T18:00:00+01:00,2024-06-25T18:30:00+01:00,kwh,electrity,octopus_api
205,0.01,2024-06-25T17:30:00+01:00,2024-06-25T18:00:00+01:00,kwh,electrity,octopus_api
206,0.005,2024-06-25T17:00:00+01:00,2024-06-25T17:30:00+01:00,kwh,electrity,octopus_api
207,0.015,2024-06-25T16:30:00+01:00,2024-06-25T17:00:00+01:00,kwh,electrity,octopus_api
208,0.021,2024-06-25T16:00:00+01:00,2024-06-25T16:30:00+01:00,kwh,electrity,octopus_api
209,0.017,2024-06-25T15:30:00+01:00,2024-06-25T16:00:00+01:00,kwh,electrity,octopus_api
210,0.013,2024-06-25T15:00:00+01:00,2024-06-25T15:30:00+01:00,kwh,electrity,octopus_api
211,0.018,2024-06-25T14:30:00+01:00,2024-06-25T15:00:00+01:00,kwh,electrity,octopus_api
212,0.016,2024-06-25T14:00:00+01:00,2024-06-25T14:30:00+01:00,kwh,electrity,octopus_api
213,0.021,2024-06-25T13:30:00+01:00,2024-06-25T14:00:00+01:00,kwh,electrity,octopus_api
214,0.009,2024-06-25T13:00:00+01:00,2024-06-25T13:30:00+01:00,kwh,electrity,octopus_api
215,0.017,2024-06-25T12:30:00+01:00,2024-06-25T13:00:00+01:00,kwh,electrity,octopus_api
216,0.02,2024-06-25T12:00:00+01:00,2024-06-25T12:30:00+01:00,kwh,electrity,octopus_api
217,0.012,2024-06-25T11:30:00+01:00,2024-06-25T12:00:00+01:00,kwh,electrity,octopus_api
218,0.013,2024-06-25T11:00:00+01:00,2024-06-25T11:30:00+01:00,kwh,electrity,octopus_api
219,0.013,2024-06-25T10:30:00+01:00,2024-06-25T11:00:00+01:00,kwh,electrity,octopus_api
220,0.009,2024-06-25T10:00:00+01:00,2024-06-25T10:30:00+01:00,kwh,electrity,octopus_api
221,0.21,2024-06-25T09:30:00+01:00,2024-06-25T10:00:00+01:00,kwh,electrity,octopus_api
222,0.234,2024-06-25T09:00:00+01:00,2024-06-25T09:30:00+01:00,kwh,electrity,octopus_api
223,1.285,2024-06-25T08:30:00+01:00,2024-06-25T09:00:00+01:00,kwh,electrity,octopus_api
224,0.48,2024-06-25T08:00:00+01:00,2024-06-25T08:30:00+01:00,kwh,electrity,octopus_api
225,0.001,2024-06-25T07:30:00+01:00,2024-06-25T08:00:00+01:00,kwh,electrity,octopus_api
226,0.0,2024-06-25T07:00:00+01:00,2024-06-25T07:30:00+01:00,kwh,electrity,octopus_api
227,0.0,2024-06-25T06:30:00+01:00,2024-06-25T07:00:00+01:00,kwh,electrity,octopus_api
228,0.001,2024-06-25T06:00:00+01:00,2024-06-25T06:30:00+01:00,kwh,electrity,octopus_api
229,0.0,2024-06-25T05:30:00+01:00,2024-06-25T06:00:00+01:00,kwh,electrity,octopus_api
230,0.0,2024-06-25T05:00:00+01:00,2024-06-25T05:30:00+01:00,kwh,electrity,octopus_api
231,0.0,2024-06-25T04:30:00+01:00,2024-06-25T05:00:00+01:00,kwh,electrity,octopus_api
232,0.0,2024-06-25T04:00:00+01:00,2024-06-25T04:30:00+01:00,kwh,electrity,octopus_api
233,0.0,2024-06-25T03:30:00+01:00,2024-06-25T04:00:00+01:00,kwh,electrity,octopus_api
234,0.001,2024-06-25T03:00:00+01:00,2024-06-25T03:30:00+01:00,kwh,electrity,octopus_api
235,0.0,2024-06-25T02:30:00+01:00,2024-06-25T03:00:00+01:00,kwh,electrity,octopus_api
236,0.0,2024-06-25T02:00:00+01:00,2024-06-25T02:30:00+01:00,kwh,electrity,octopus_api
237,0.0,2024-06-25T01:30:00+01:00,2024-06-25T02:00:00+01:00,kwh,electrity,octopus_api
238,0.0,2024-06-25T01:00:00+01:00,2024-06-25T01:30:00+01:00,kwh,electrity,octopus_api
239,0.0,2024-06-25T00:30:00+01:00,2024-06-25T01:00:00+01:00,kwh,electrity,octopus_api
240,0.0,2024-06-25T00:00:00+01:00,2024-06-25T00:30:00+01:00,kwh,electrity,octopus_api
241,0.001,2024-06-24T23:30:00+01:00,2024-06-25T00:00:00+01:00,kwh,electrity,octopus_api
242,0.0,2024-06-24T23:00:00+01:00,2024-06-24T23:30:00+01:00,kwh,electrity,octopus_api
243,0.0,2024-06-24T22:30:00+01:00,2024-06-24T23:00:00+01:00,kwh,electrity,octopus_api
244,0.001,2024-06-24T22:00:00+01:00,2024-06-24T22:30:00+01:00,kwh,electrity,octopus_api
245,0.0,2024-06-24T21:30:00+01:00,2024-06-24T22:00:00+01:00,kwh,electrity,octopus_api
246,0.0,2024-06-24T21:00:00+01:00,2024-06-24T21:30:00+01:00,kwh,electrity,octopus_api
247,0.001,2024-06-24T20:30:00+01:00,2024-06-24T21:00:00+01:00,kwh,electrity,octopus_api
248,0.0,2024-06-24T20:00:00+01:00,2024-06-24T20:30:00+01:00,kwh,electrity,octopus_api
249,0.001,2024-06-24T19:30:00+01:00,2024-06-24T20:00:00+01:00,kwh,electrity,octopus_api
250,0.003,2024-06-24T19:00:00+01:00,2024-06-24T19:30:00+01:00,kwh,electrity,octopus_api
251,0.012,2024-06-24T18:30:00+01:00,2024-06-24T19:00:00+01:00,kwh,electrity,octopus_api
252,0.017,2024-06-24T18:00:00+01:00,2024-06-24T18:30:00+01:00,kwh,electrity,octopus_api
253,0.01,2024-06-24T17:30:00+01:00,2024-06-24T18:00:00+01:00,kwh,electrity,octopus_api
254,0.016,2024-06-24T17:00:00+01:00,2024-06-24T17:30:00+01:00,kwh,electrity,octopus_api
255,0.015,2024-06-24T16:30:00+01:00,2024-06-24T17:00:00+01:00,kwh,electrity,octopus_api
256,0.018,2024-06-24T16:00:00+01:00,2024-06-24T16:30:00+01:00,kwh,electrity,octopus_api
257,0.028,2024-06-24T15:30:00+01:00,2024-06-24T16:00:00+01:00,kwh,electrity,octopus_api
