value_exc_vat,value_inc_vat,valid_from,valid_to
5.238,5.4999,2024-06-15T19:30:00Z,2024-06-16T00:30:00Z
14.9,15.645,2024-06-15T00:30:00Z,2024-06-15T19:30:00Z
5.238,5.4999,2024-06-14T19:30:00Z,2024-06-15T00:30:00Z
14.9,15.645,2024-06-14T00:30:00Z,2024-06-14T19:30:00Z
5.238,5.4999,2024-06-13T19:30:00Z,2024-06-14T00:30:00Z
14.9,15.645,2024-06-13T00:30:00Z,2024-06-13T19:30:00Z
5.238,5.4999,2024-06-12T19:30:00Z,2024-06-13T00:30:00Z
14.9,15.645,2024-06-12T00:30:00Z,2024-06-12T19:30:00Z
5.238,5.4999,2024-06-11T19:30:00Z,2024-06-12T00:30:00Z
14.9,15.645,2024-06-11T00:30:00Z,2024-06-11T19:30:00Z
5.238,5.4999,2024-06-10T19:30:00Z,2024-06-11T00:30:00Z
14.9,15.645,2024-06-10T00:30:00Z,2024-06-10T19:30:00Z
5.238,5.4999,2024-06-09T19:30:00Z,2024-06-10T00:30:00Z
14.9,15.645,2024-06-09T00:30:00Z,2024-06-09T19:30:00Z
5.238,5.4999,2024-06-08T19:30:00Z,2024-06-09T00:30:00Z
14.9,15.645,2024-06-08T00:30:00Z,2024-06-08T19:30:00Z
5.238,5.4999,2024-06-07T19:30:00Z,2024-06-08T00:30:00Z
14.9,15.645,2024-06-07T00:30:00Z,2024-06-07T19:30:00Z
5.238,5.4999,2024-06-06T19:30:00Z,2024-06-07T00:30:00Z
14.9,15.645,2024-06-06T00:30:00Z,2024-06-06T19:30:00Z
5.238,5.4999,2024-06-05T19:30:00Z,2024-06-06T00:30:00Z
14.9,15.645,2024-06-05T00:30:00Z,2024-06-05T19:30:00Z
5.238,5.4999,2024-06-04T19:30:00Z,2024-06-05T00:30:00Z
14.9,15.645,2024-06-04T00:30:00Z,2024-06-04T19:30:00Z
5.238,5.4999,2024-06-03T19:30:00Z,2024-06-04T00:30:00Z
14.9,15.645,2024-06-03T00:30:00Z,2024-06-03T19:30:00Z
5.238,5.4999,2024-06-02T19:30:00Z,2024-06-03T00:30:00Z
14.9,15.645,2024-06-02T00:30:00Z,2024-06-02T19:30:00Z
5.238,5.4999,2024-06-01T19:30:00Z,2024-06-02T00:30:00Z
14.9,15.645,2024-06-01T00:30:00Z,2024-06-01T19:30:00Z
5.238,5.4999,2024-05-31T19:30:00Z,2024-06-01T00:30:00Z
14.9,15.645,2024-05-31T00:30:00Z,2024-05-31T19:30:00Z
5.238,5.4999,2024-05-30T19:30:00Z,2024-05-31T00:30:00Z
14.9,15.645,2024-05-30T00:30:00Z,2024-05-30T19:30:00Z
5.238,5.4999,2024-05-29T19:30:00Z,2024-05-30T00:30:00Z
14.9,15.645,2024-05-29T00:30:00Z,2024-05-29T19:30:00Z
5.238,5.4999,2024-05-28T19:30:00Z,2024-05-29T00:30:00Z
14.9,15.645,2024-05-28T00:30:00Z,2024-05-28T19:30:00Z
5.238,5.4999,2024-05-27T19:30:00Z,2024-05-28T00:30:00Z
14.9,15.645,2024-05-27T00:30:00Z,2024-05-27T19:30:00Z
5.238,5.4999,2024-05-26T19:30:00Z,2024-05-27T00:30:00Z
14.9,15.645,2024-05-26T00:30:00Z,2024-05-26T19:30:00Z
5.238,5.4999,2024-05-25T19:30:00Z,2024-05-26T00:30:00Z
14.9,15.645,2024-05-25T00:30:00Z,2024-05-25T19:30:00Z
5.238,5.4999,2024-05-24T19:30:00Z,2024-05-25T00:30:00Z
14.9,15.645,2024-05-24T00:30:00Z,2024-05-24T19:30:00Z
5.238,5.4999,2024-05-23T19:30:00Z,2024-05-24T00:30:00Z
14.9,15.645,2024-05-23T00:30:00Z,2024-05-23T19:30:00Z
5.238,5.4999,2024-05-22T19:30:00Z,2024-05-23T00:30:00Z
14.9,15.645,2024-05-22T00:30:00Z,2024-05-22T19:30:00Z
5.238,5.4999,2024-05-21T19:30:00Z,2024-05-22T00:30:00Z
14.9,15.645,2024-05-21T00:30:00Z,2024-05-21T19:30:00Z
5.238,5.4999,2024-05-20T19:30:00Z,2024-05-21T00:30:00Z
14.9,15.645,2024-05-20T00:30:00Z,2024-05-20T19:30:00Z
5.238,5.4999,2024-05-19T19:30:00Z,2024-05-20T00:30:00Z
14.9,15.645,2024-05-19T00:30:00Z,2024-05-19T19:30:00Z
5.238,5.4999,2024-05-18T19:30:00Z,2024-05-19T00:30:00Z
14.9,15.645,2024-05-18T00:30:00Z,2024-05-18T19:30:00Z
5.238,5.4999,2024-05-17T19:30:00Z,2024-05-18T00:30:00Z
14.9,15.645,2024-05-17T00:30:00Z,2024-05-17T19:30:00Z
5.238,5.4999,2024-05-16T19:30:00Z,2024-05-17T00:30:00Z
14.9,15.645,2024-05-16T00:30:00Z,2024-05-16T19:30:00Z
5.238,5.4999,2024-05-15T19:30:00Z,2024-05-16T00:30:00Z
14.9,15.645,2024-05-15T00:30:00Z,2024-05-15T19:30:00Z
5.238,5.4999,2024-05-14T19:30:00Z,2024-05-15T00:30:00Z
14.9,15.645,2024-05-14T00:30:00Z,2024-05-14T19:30:00Z
