value_exc_vat,value_inc_vat,valid_from,valid_to
33.383,35.05215,2024-06-15T01:30:00Z,2024-06-15T20:30:00Z
7.857,8.24985,2024-06-14T20:30:00Z,2024-06-15T01:30:00Z
33.383,35.05215,2024-06-14T01:30:00Z,2024-06-14T20:30:00Z
7.857,8.24985,2024-06-13T20:30:00Z,2024-06-14T01:30:00Z
33.383,35.05215,2024-06-13T01:30:00Z,2024-06-13T20:30:00Z
7.857,8.24985,2024-06-12T20:30:00Z,2024-06-13T01:30:00Z
33.383,35.05215,2024-06-12T01:30:00Z,2024-06-12T20:30:00Z
7.857,8.24985,2024-06-11T20:30:00Z,2024-06-12T01:30:00Z
33.383,35.05215,2024-06-11T01:30:00Z,2024-06-11T20:30:00Z
7.857,8.24985,2024-06-10T20:30:00Z,2024-06-11T01:30:00Z
33.383,35.05215,2024-06-10T01:30:00Z,2024-06-10T20:30:00Z
7.857,8.24985,2024-06-09T20:30:00Z,2024-06-10T01:30:00Z
33.383,35.05215,2024-06-09T01:30:00Z,2024-06-09T20:30:00Z
7.857,8.24985,2024-06-08T20:30:00Z,2024-06-09T01:30:00Z
33.383,35.05215,2024-06-08T01:30:00Z,2024-06-08T20:30:00Z
7.857,8.24985,2024-06-07T20:30:00Z,2024-06-08T01:30:00Z
33.383,35.05215,2024-06-07T01:30:00Z,2024-06-07T20:30:00Z
7.857,8.24985,2024-06-06T20:30:00Z,2024-06-07T01:30:00Z
33.383,35.05215,2024-06-06T01:30:00Z,2024-06-06T20:30:00Z
7.857,8.24985,2024-06-05T20:30:00Z,2024-06-06T01:30:00Z
33.383,35.05215,2024-06-05T01:30:00Z,2024-06-05T20:30:00Z
7.857,8.24985,2024-06-04T20:30:00Z,2024-06-05T01:30:00Z
33.383,35.05215,2024-06-04T01:30:00Z,2024-06-04T20:30:00Z
7.857,8.24985,2024-06-03T20:30:00Z,2024-06-04T01:30:00Z
33.383,35.05215,2024-06-03T01:30:00Z,2024-06-03T20:30:00Z
7.857,8.24985,2024-06-02T20:30:00Z,2024-06-03T01:30:00Z
33.383,35.05215,2024-06-02T01:30:00Z,2024-06-02T20:30:00Z
7.857,8.24985,2024-06-01T20:30:00Z,2024-06-02T01:30:00Z
33.383,35.05215,2024-06-01T01:30:00Z,2024-06-01T20:30:00Z
7.857,8.24985,2024-05-31T20:30:00Z,2024-06-01T01:30:00Z
33.383,35.05215,2024-05-31T01:30:00Z,2024-05-31T20:30:00Z
7.857,8.24985,2024-05-30T20:30:00Z,2024-05-31T01:30:00Z
33.383,35.05215,2024-05-30T01:30:00Z,2024-05-30T20:30:00Z
7.857,8.24985,2024-05-29T20:30:00Z,2024-05-30T01:30:00Z
33.383,35.05215,2024-05-29T01:30:00Z,2024-05-29T20:30:00Z
7.857,8.24985,2024-05-28T20:30:00Z,2024-05-29T01:30:00Z
33.383,35.05215,2024-05-28T01:30:00Z,2024-05-28T20:30:00Z
7.857,8.24985,2024-05-27T20:30:00Z,2024-05-28T01:30:00Z
33.383,35.05215,2024-05-27T01:30:00Z,2024-05-27T20:30:00Z
7.857,8.24985,2024-05-26T20:30:00Z,2024-05-27T01:30:00Z
33.383,35.05215,2024-05-26T01:30:00Z,2024-05-26T20:30:00Z
7.857,8.24985,2024-05-25T20:30:00Z,2024-05-26T01:30:00Z
33.383,35.05215,2024-05-25T01:30:00Z,2024-05-25T20:30:00Z
7.857,8.24985,2024-05-24T20:30:00Z,2024-05-25T01:30:00Z
33.383,35.05215,2024-05-24T01:30:00Z,2024-05-24T20:30:00Z
7.857,8.24985,2024-05-23T20:30:00Z,2024-05-24T01:30:00Z
33.383,35.05215,2024-05-23T01:30:00Z,2024-05-23T20:30:00Z
7.857,8.24985,2024-05-22T20:30:00Z,2024-05-23T01:30:00Z
33.383,35.05215,2024-05-22T01:30:00Z,2024-05-22T20:30:00Z
7.857,8.24985,2024-05-21T20:30:00Z,2024-05-22T01:30:00Z
33.383,35.05215,2024-05-21T01:30:00Z,2024-05-21T20:30:00Z
7.857,8.24985,2024-05-20T20:30:00Z,2024-05-21T01:30:00Z
33.383,35.05215,2024-05-20T01:30:00Z,2024-05-20T20:30:00Z
7.857,8.24985,2024-05-19T20:30:00Z,2024-05-20T01:30:00Z
33.383,35.05215,2024-05-19T01:30:00Z,2024-05-19T20:30:00Z
7.857,8.24985,2024-05-18T20:30:00Z,2024-05-19T01:30:00Z
33.383,35.05215,2024-05-18T01:30:00Z,2024-05-18T20:30:00Z
7.857,8.24985,2024-05-17T20:30:00Z,2024-05-18T01:30:00Z
33.383,35.05215,2024-05-17T01:30:00Z,2024-05-17T20:30:00Z
7.857,8.24985,2024-05-16T20:30:00Z,2024-05-17T01:30:00Z
33.383,35.05215,2024-05-16T01:30:00Z,2024-05-16T20:30:00Z
7.857,8.24985,2024-05-15T20:30:00Z,2024-05-16T01:30:00Z
33.383,35.05215,2024-05-15T01:30:00Z,2024-05-15T20:30:00Z
7.857,8.24985,2024-05-14T20:30:00Z,2024-05-15T01:30:00Z
33.383,35.05215,2024-05-14T01:30:00Z,2024-05-14T20:30:00Z
